round,trial,score,vs_left,best_action,win_probability
1,2,43,0,small,0.42064023038274145
1,2,43,1,small,0.47956775974027155
1,2,43,2,small,0.4966340217212701
1,2,43,3,small,0.508319524333862
1,2,44,0,small,0.4244192670311823
1,2,44,1,small,0.4805407235621634
1,2,44,2,small,0.4967943064012096
1,2,44,3,small,0.50792335650844
1,2,45,0,small,0.42801834955350704
1,2,45,1,small,0.4814673557734889
1,2,45,2,small,0.4969469584773425
1,2,45,3,small,0.5075460538175619
1,2,46,0,small,0.43144604719381624
1,2,46,1,small,0.4823498626414181
1,2,46,2,small,0.4970923414069928
1,2,46,3,small,0.5071867179214875
1,2,47,0,small,0.43471052113696784
1,2,47,1,small,0.4831903453727791
1,2,47,2,small,0.4972308013399932
1,2,47,3,small,0.5068444932585595
1,2,48,0,small,0.43781954393996936
1,2,48,1,small,0.4839908051169325
1,2,48,2,small,0.49736266794285067
1,2,48,3,small,0.506518565008152
1,2,49,0,small,0.44078051803806606
1,2,49,1,small,0.4847531477304119
1,2,49,2,small,0.4974882551836673
1,2,49,3,small,0.506208157150621
1,2,50,0,small,0.4436004933695867
1,2,50,1,small,0.485479188314678
1,2,50,2,small,0.49760786207968316
1,2,50,3,small,0.5140416228815438
1,2,51,0,small,0.43096148178055876
1,2,51,1,small,0.4770858341092171
1,2,51,2,small,0.492971029361603
1,2,51,3,small,0.5193612554228988
1,2,52,0,small,0.41775051836243693
1,2,52,1,small,0.46683695510401624
1,2,52,2,small,0.4866182422491457
1,2,52,3,small,0.5221020512956178
1,2,53,0,small,0.40398858891660655
1,2,53,1,small,0.45470707033715835
1,2,53,2,small,0.4837613095825195
1,2,53,3,small,0.5223570503410646
1,2,54,0,small,0.38969746563486335
1,2,54,1,small,0.4408634300830079
1,2,54,2,small,0.4916596828613281
1,2,54,3,small,0.5202338723486329
1,2,55,0,small,0.37489937203320317
1,2,55,1,small,0.43681301376953124
1,2,55,2,small,0.4971469775390625
1,2,55,3,small,0.5158533903320313
1,2,56,0,small,0.36020833050781254
1,2,56,1,small,0.456101642578125
1,2,56,2,small,0.5
1,2,56,3,small,0.5093483925781251
1,2,57,0,small,0.34569096953125
1,2,57,1,small,0.4771758203125
1,2,57,2,small,0.5
1,2,57,3,small,0.5008655078125
1,2,58,0,small,0.331406578125
1,2,58,1,small,0.5
1,2,58,2,small,0.5
1,2,58,3,small,0.5
1,2,59,0,small,0.3174065625
1,2,59,1,small,0.5
1,2,59,2,small,0.5
1,2,59,3,small,0.5
1,2,60,0,small,0.5
1,2,60,1,small,0.5
1,2,60,2,small,0.5
1,2,60,3,small,0.5
1,2,61,0,small,0.5
1,2,61,1,small,0.5
1,2,61,2,small,0.5
1,2,61,3,small,0.5
1,2,62,0,small,0.5
1,2,62,1,small,0.5
1,2,62,2,small,0.5
1,2,62,3,small,0.5
1,2,63,0,small,0.5
1,2,63,1,small,0.5
1,2,63,2,small,0.5
1,2,63,3,small,0.5
1,2,64,0,small,0.5
1,2,64,1,small,0.5
1,2,64,2,small,0.5
1,2,64,3,small,0.5
1,2,65,0,small,0.5
1,2,65,1,small,0.5
1,2,65,2,small,0.5
1,2,65,3,small,0.5
1,2,66,0,small,0.5
1,2,66,1,small,0.5
1,2,66,2,small,0.5
1,2,66,3,small,0.5
1,2,67,0,small,0.5
1,2,67,1,small,0.5
1,2,67,2,small,0.5
1,2,67,3,small,0.5
1,2,68,0,small,0.5
1,2,68,1,small,0.5
1,2,68,2,small,0.5
1,2,68,3,small,0.5
1,2,69,0,small,0.5
1,2,69,1,small,0.5
1,2,69,2,small,0.5
1,2,69,3,small,0.5
1,2,70,0,small,0.5
1,2,70,1,small,0.5
1,2,70,2,small,0.5
1,2,70,3,small,0.5
1,2,71,0,small,0.03981718750000001
1,2,71,1,small,0.069143125
1,2,71,2,small,0.11781601562499999
1,2,71,3,small,0.20214648437500005
1,2,72,0,small,0.032162500000000004
1,2,72,1,small,0.0560821875
1,2,72,2,small,0.09712968750000002
1,2,72,3,small,0.1727330859375
1,2,73,0,small,0.025735937500000004
1,2,73,1,small,0.0454915625
1,2,73,2,small,0.08112914062500001
1,2,73,3,small,0.146376875
1,2,74,0,small,0.020546875000000006
1,2,74,1,small,0.0372978125
1,2,74,2,small,0.06723578125000002
1,2,74,3,small,0.12249421875
1,2,75,0,small,0.0166015625
1,2,75,1,small,0.030345937500000007
1,2,75,2,small,0.055086875
1,2,75,3,small,0.10108375
1,2,76,0,small,0.013282500000000001
1,2,76,1,small,0.024423437500000006
1,2,76,2,small,0.044565625000000005
1,2,76,3,small,0.082121640625
1,2,77,0,small,0.0105153125
1,2,77,1,small,0.019425000000000005
1,2,77,2,small,0.03555031250000001
1,2,77,3,small,0.06556125
1,2,78,0,small,0.008229375000000002
1,2,78,1,small,0.015248437500000003
1,2,78,2,small,0.027916875
1,2,78,3,small,0.051329960937499995
1,2,79,0,small,0.006359062500000003
1,2,79,1,small,0.011796562500000003
1,2,79,2,small,0.0215403125
1,2,79,3,small,0.039325234375
1,2,80,0,small,0.004845000000000003
1,2,80,1,small,0.008978437500000002
1,2,80,2,small,0.016295625
1,2,80,3,small,0.029410351562500006
1,2,81,0,small,0.0036337500000000016
1,2,81,1,small,0.006709375000000001
1,2,81,2,small,0.012057812500000003
1,2,81,3,small,0.021411484375000008
1,2,82,0,small,0.0026775000000000006
1,2,82,1,small,0.0049109375
1,2,82,2,small,0.008701875000000001
1,2,82,3,small,0.015125507812500003
1,2,83,0,small,0.0019337500000000008
1,2,83,1,small,0.003510937500000001
1,2,83,2,small,0.006104765625000001
1,2,83,3,small,0.010329765625000003
1,2,84,0,small,0.0013650000000000005
1,2,84,1,small,0.002443437500000001
1,2,84,2,small,0.00414734375
1,2,84,3,small,0.006791835937500001
1,2,85,0,small,0.0009384375000000005
1,2,85,1,small,0.001648750000000001
1,2,85,2,small,0.0027163281250000004
1,2,85,3,small,0.0042792968750000005
1,2,86,0,small,0.0006256250000000003
1,2,86,1,small,0.0010734375000000006
